What_is_your_gender,What_is_your_level_of_education,How_familiar_are_you_with_using_AI_chatbots,What_task_did_you_attempt_to_complete_using_ChatGPT__eg_Assignment_Research_Calculation_etc,Were_you_able_to_successfully_complete_your_task_using_ChatGPT,How_easy_was_it_to_interact_with_ChatGPT,Was_ChatGPT_able_to_understand_your_questions_or_prompts_accurately,How_effectively_did_ChatGPT_provide_solutions_or_answers_to_your_queries,Did_ChatGPT_save_you_time_in_completing_your_tasks,How_would_you_rate_ChatGPTs_reliability_in_delivering_consistent_responses,Would_you_use_ChatGPT_again_for_similar_tasks,How_engaging_did_you_find_the_interaction_with_ChatGPT,Did_ChatGPTs_responses_feel_natural_and_humanlike,Did_ChatGPTs_responses_evoke_any_emotional_reaction_eg_frustration_delight_confusionShort_answer,How_enjoyable_was_your_experience_with_ChatGPT,Would_you_recommend_ChatGPT_to_others_based_on_your_experience,What_did_you_like_most_about_ChatGPT,What_did_you_dislike_or_find_frustrating_about_ChatGPT,On_a_scale_of_1_to_5_how_would_you_rate_ChatGPT_overall,What_suggestions_do_you_have_for_improving_ChatGPT
Male,Undergraduate,5,Resarch,1.0,5,"Yes, completely",,,4.0,,4,Neutral,No,4.0,Neutral,Large response,Slow ,3.0,Speed and efficiency 
Male,Undergraduate,4,I asked Chatgpt to help me program in Java to help me study for my tests ,1.0,3,"Yes, partially",,,4.0,,4,Rarely,Frustrating ,4.0,Definitely,"It goes straight to the point, straight to your question ",It sometimes misunderstands or gives different answers from what could be seen on the internet or what our lecturer's teaches us ,3.0,"Nothing much, It will get better gradually by collecting data from users and learning user's preferences "
Female,Undergraduate,5,Research ,1.0,5,"Yes, completely",,,5.0,,5,Neutral,Delightful ,4.0,Neutral,Everything ,Nothing ,3.0,Everything is fine 
Female,Undergraduate,5,Assignment,1.0,5,"Yes, completely",,,3.0,,4,Neutral,It doesn’t ,3.0,Definitely,Easy to use,It can be wrong at times,3.0,It should be consistent with right answers
Male,Undergraduate,5,Assignment ,1.0,2,"Yes, partially",,,3.0,,4,Neutral,No,4.0,Probably,Free,Free limit,4.0,Free
Male,Undergraduate,4,Assignment,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,Sometimes,5.0,Definitely,Speed,Unreliable ,5.0,End it
Female;Prefer not to say,Undergraduate,5,Assignment ,1.0,5,"Yes, completely",,,5.0,,5,Most of the time,N/A,5.0,Definitely,Nothing ,Nothing ,5.0,Nothing 
Male,Undergraduate,5,Assitance in Coding,1.0,1,"Yes, completely",,,5.0,,5,Most of the time,Sometimes,5.0,Definitely,Speed and accuracy in answers,sometimes it doesn't go straight to the point,5.0,Nothing
Male,Undergraduate,5,Assignment ,1.0,5,"Yes, completely",,,5.0,,5,A;ways,Frustration ,5.0,Definitely,Its effectiveness ,It’s doesn’t give a precise answe ,5.0,Giving precise answers 
Female,Undergraduate,5,Assignments,1.0,1,"Yes, completely",,,5.0,,5,Most of the time,Happiness ,5.0,Definitely,it is reliable ,Nothing ,5.0,To make the answer more human like
Female,Undergraduate,5,"Assignment, business and a lot of things ",,3,"Yes, partially",,,3.0,,4,Most of the time,Confusion and anger sometimes ,3.0,Probably,N/A,N/A,4.0,Nothing much
Female,Undergraduate,5,Assignment ,1.0,4,"Yes, completely",,,4.0,,4,Neutral,Delight,4.0,Definitely,It’s efficiency ,Nothing,4.0,No suggestion 
Female,Undergraduate,3,Assignments ,,5,"Yes, partially",,,4.0,,4,Neutral,Delight ,3.0,Neutral,It helps in doing my assignments ,It doesn't work wothour connecting to internet ,3.0,They should make it work without using internet 
Female;Prefer not to say,Undergraduate,4,Research,1.0,5,"Yes, completely",,,4.0,,4,Most of the time,No,4.0,Definitely,Fast response,I don’t know,4.0,Nothing
Female,Undergraduate,4,"Research, Assignment",1.0,1,"Yes, partially",,,4.0,,4,Neutral,No ,4.0,Probably,PRompt,Slow,3.0,IDK
Female,Undergraduate,5,Assignments ,1.0,2,"Yes, completely",,,4.0,,4,Most of the time,Delight,4.0,Definitely,Reliability ,Might not understand the question totally ,5.0,Maybe offline mode
Male,Undergraduate,5,Assignment,1.0,1,"Yes, completely",,,4.0,,4,Neutral,No,4.0,Probably,Interactivity,Lacked emotional connectivity,4.0,Focus more on connecting with users.
Male,Undergraduate,3,Assignment ,1.0,4,"Yes, completely",,,4.0,,5,A;ways,Delight,4.0,Definitely,Interactive ,Nothing ,4.0,Saving progress differently 
Male,Undergraduate,4,Assignments calculations and research mostly research,1.0,2,"Yes, completely",,,3.0,,4,Neutral,No,4.0,Probably,The way it's able to answer a question in many different ways based on the structuring of the question,Sometimes it doesn't hit the nail on the head,4.0,It should become m more interactive
Female,Undergraduate,3,"Assignments,Research",1.0,5,"Yes, completely",,,4.0,,5,Most of the time,delight,5.0,Definitely,Versatile,nothing,5.0,idk
Female,Undergraduate,2,Assignment,1.0,3,"Yes, partially",,,4.0,,4,Most of the time,Confusion,3.0,Definitely,It’s effectiveness,It’s slow,3.0,Nothing
Female,Undergraduate,5,Assignment,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,Delight,4.0,Neutral,Versatility,Nothing,4.0,IDK
Male,Undergraduate,3,Research,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,Delight,4.0,Probably,Tenacity to answer the questions,Nothing,4.0,Nothing
Female,Undergraduate,5,Assignment,1.0,1,"Yes, completely",,,4.0,,4,Most of the time,No,5.0,Definitely,Accuracy and speed,Nothing,5.0,none
Male,Undergraduate,5,Code and research,1.0,5,"Yes, completely",,,5.0,,5,Most of the time,Delight,5.0,Definitely,The quick response and detailed answers,N/A,5.0,Trian with more data
Female,Undergraduate,3,"Assignment,Research,Correction of error /bugs ",1.0,2,"Yes, completely",,,5.0,,4,Neutral,No,3.0,Definitely,Speed and efficiency ,Nothing ,4.0,Nothing 
Male,Undergraduate,5,Assignment ,1.0,2,"Yes, partially",,,3.0,,4,Neutral,No,3.0,Probably,N/A,N/A,4.0,I don't have any.
Female,Undergraduate,4,Assignment,1.0,5,"Yes, completely",,,5.0,,5,Most of the time,delight,5.0,Definitely,simplicity,nothing,5.0,none
Male,Undergraduate,3,nothing,,3,"Yes, partially",,,3.0,,3,Neutral,nothing,3.0,Neutral,nothing,yes,3.0,idk
Female,Undergraduate,5,Assignment,1.0,1,"Yes, completely",,,4.0,,4,Most of the time,no,4.0,Definitely,nil,nil,4.0,nil
Male,Undergraduate,4,Research,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,no,4.0,Probably,Response time,nothing,4.0,more interactive Please
Male,Undergraduate,5,"Assignment, research , programming, learning ",1.0,5,"Yes, completely",,,4.0,,5,Most of the time,Delight ,4.0,Definitely,It's ability to streamline bulky stuff and give me just what is needed per time,Sometimes AI can hallucinate. Give related answer that is not necessarily correct ,4.0,More accuracy 
Male,Undergraduate,4,"Calculation,research etc",1.0,1,"Yes, completely",,,5.0,,4,Most of the time,No,4.0,Definitely,It was easy to use,Sometimes it's slow,5.0,More updates 
Female,Undergraduate,3,Assignment ,,3,"Yes, partially",,,2.0,,3,Neutral,Confusion,3.0,Neutral,Speed,Inaccuracy,4.0,Accuracy and understanding 
Female,Undergraduate,5,assignment,1.0,2,"Yes, completely",,,5.0,,5,Most of the time,delight,5.0,Definitely,simplicity,nothing,5.0,none
Male,Undergraduate,4,research,1.0,4,"Yes, completely",,,4.0,,4,Neutral,delight,3.0,Probably,Response time,Nothing,4.0,Nothing
Female,Undergraduate,3,Research,0.0,3,"Yes, completely",,,2.0,,2,Most of the time,No,3.0,Probably,Prompt,No,3.0,IDK
Female,Undergraduate,5,research,1.0,2,"Yes, partially",,,5.0,,5,A;ways,delight,5.0,Definitely,simplicity,nothing,5.0,none
Male,Undergraduate,1,Assignment ,1.0,1,"Yes, completely",,,4.0,,3,Rarely,No,3.0,Probably,Fast response ,Re asking questions ,4.0,Fast processing 
Female,Undergraduate,3,Assignment and research ,1.0,4,"Yes, completely",,,3.0,,2,Neutral,Frustration,2.0,Neutral,It gave fast and reasonable anwsers,N/A,2.0,Accuracy 
Male,Undergraduate,5,Research,1.0,1,"Yes, completely",,,4.0,,4,Most of the time,Delight,4.0,Definitely,Fast,Nothing,5.0,Nothing 
Male,Undergraduate,5,"Assignment, research, projects ",1.0,3,"Yes, completely",,,3.0,,3,Neutral,Not really ,4.0,Definitely,It's ability to answer any type of question ,The answers may differ due to people's points of view ,4.0,Not really I like how it is 
Male,Undergraduate,4,calculation,1.0,4,"Yes, completely",,,5.0,,4,Most of the time,delight,4.0,Definitely,acccuracy,nothing,4.0,nill
Female,Undergraduate,4,research,1.0,2,"Yes, partially",,,4.0,,4,Most of the time,delight,4.0,Probably,How easy the answeers are to understand,The length of the answers,4.0,More human like responses
Male,Undergraduate,1,Assignment ,1.0,3,"Yes, completely",,,3.0,,3,Most of the time,No,3.0,Definitely,Fast response ,Nothing ,3.0,Nothing 
Male,Undergraduate,3,Research ,1.0,2,"Yes, partially",,,3.0,,3,Most of the time,Frustation,3.0,Probably,Clarification ,Wrong interpretation to questions,3.0,Proper interpretation to questions 
Male,Undergraduate,3,"assignment, research",1.0,1,"Yes, partially",,,4.0,,3,Most of the time,delight,3.0,Probably,Effectiveness,answers/solutions aren't  completely accurate,4.0,Improved accuracy
Male,Undergraduate,4,Assignment ,1.0,1,"Yes, completely",,,4.0,,4,Most of the time,Delight ,4.0,Definitely,Fast,Nothing,4.0,Nil
Male,Undergraduate,5,assignments,1.0,1,"Yes, completely",,,5.0,,5,A;ways,delight,5.0,Definitely,everything,nothing,5.0,nothing
Male,Undergraduate,5,research and assignment,1.0,5,"Yes, completely",,,4.0,,4,Most of the time,confusion,4.0,Probably,detailed response and extensively report,different response to same question when redirecting the questions,4.0,i think they should stop giving responses due to internet connection speed
Male,Undergraduate,4,assignments,1.0,1,"Yes, completely",,,4.0,,3,Most of the time,no,3.0,Definitely,it's responses,nothing,4.0,no suggestion
Male,Undergraduate,4,Research,1.0,5,"Yes, completely",,,5.0,,5,Most of the time,Delight,5.0,Definitely,Speed,Nothing,5.0,nothing
Male,Undergraduate,4,Research ,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,Not really ,4.0,Definitely,Accuracy ,Not precise,4.0,Calculation wise
Male,Undergraduate,4,research,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,delight,4.0,Definitely,efficiency,nothing,4.0,nothing
Male,Undergraduate,4,Research ,1.0,4,"Yes, completely",,,4.0,,5,A;ways,Confusion ,5.0,Definitely,How helpful it can be,How confusing it can be,5.0,To be more specific when giving answers
Male,Undergraduate,5,research,1.0,5,"Yes, completely",,,5.0,,5,A;ways,No,4.0,Definitely,Action,nil,3.0,Nil
Female,Undergraduate,3,all,1.0,2,"Yes, partially",,,3.0,,2,Neutral,why,2.0,Definitely,nothing,why,3.0,idk
Male,Undergraduate,5,Calculation,,3,"Yes, partially",,,5.0,,5,Most of the time,Confusion,3.0,Probably,simplicity,N/A,4.0,none
Male,Undergraduate,3,Assignment ,,3,"Yes, partially",,,3.0,,3,Most of the time,Not every time,3.0,Probably,Jack of all trade,Inaccuracy ,3.0,Better understand of the human for better interaction 
Male,Undergraduate,5,Assignment ,1.0,1,"Yes, completely",,,5.0,,5,A;ways,No ,5.0,Definitely,Versertility ,Nothing ,5.0,Nothing 
Male,Undergraduate,1,Research,,2,"Yes, completely",,,3.0,,3,Rarely,Yes,4.0,Definitely,Precision,Precision,4.0,Nothing
Male,Undergraduate,5,Research,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,No,4.0,Definitely,Effective response,Nil,5.0,Nil
Male,Undergraduate,5,Assignment,1.0,1,"Yes, completely",,,5.0,,5,A;ways,delight,5.0,Definitely,simplicity,nothing,5.0,nothing
Male,Undergraduate,5,...,1.0,1,"Yes, completely",,,5.0,,5,Most of the time,"..,",5.0,Definitely,...,...,5.0,...
Male,Undergraduate,3,Research,,4,"Yes, completely",,,4.0,,3,Neutral,N/A,3.0,Probably,Speed and precision of search,N/A,4.0,Reduced price for subscription 
Male,Undergraduate,3,research ,1.0,4,"Yes, partially",,,4.0,,4,Neutral,nil,4.0,Definitely,fast,no,4.0,research
Male,Undergraduate,4,Hhh,1.0,2,"Yes, completely",,,1.0,,3,A;ways,Hhe,2.0,Definitely,Ydh,Hey,2.0,Hdh
Male,Undergraduate,5,Research,1.0,1,"Yes, completely",,,5.0,,5,A;ways,delight,5.0,Definitely,everything,nothing,5.0,nothing
Male,Undergraduate,4,Assignment ,1.0,4,"Yes, partially",,,4.0,,5,Most of the time,Delight ,4.0,Probably,Good,Slow,4.0,Change the UI
Male,Undergraduate,4,research,1.0,5,"Yes, completely",,,4.0,,4,A;ways,nil,5.0,Probably,fast,nil,4.0,nil
Male,Undergraduate,1,Assignment ,1.0,1,"Yes, completely",,,5.0,,4,Neutral,Delight,3.0,Definitely,It's effectiveness ,Nothing,4.0,Get better 
Male,Undergraduate,2,Chop rice,0.0,2,"Yes, completely",,,1.0,,1,Most of the time,3eec,1.0,Probably,Dce,Cehrip,1.0,Ere
Male,Undergraduate,5,"Assignment, Calculation",1.0,5,"Yes, completely",,,4.0,,5,Most of the time,No,4.0,Definitely,It's simplicity ,Nothing much ,5.0,N/A
Male,Secondary School,1,Uyh,1.0,2,"Yes, partially",,,1.0,,1,A;ways,Hey,2.0,Definitely,Hey,Hey,2.0,Hey
Male,Undergraduate,5,Research,1.0,1,"Yes, completely",,,4.0,,4,A;ways,Delight,4.0,Definitely,Everything ,Nothing,4.0,Reliable and accurate data 
Male,Undergraduate,4,nil,1.0,4,"Yes, completely",,,3.0,,3,Most of the time,no,3.0,Probably,nothing,nothing,3.0,nothing
Male,Undergraduate,2,Hey,1.0,1,"Yes, completely",,,1.0,,1,A;ways,Yes,1.0,Definitely,Okay,I,1.0,Me
Male,Undergraduate,3,Assignment and Research ,,3,"Yes, partially",,,3.0,,3,Most of the time,Delight,3.0,Definitely,Effectiveness and speed,The amount for subscription ,4.0,They should reduce the price for subscription 
Male,Undergraduate,5,Research,1.0,5,"Yes, completely",,,5.0,,5,Most of the time,Delight,5.0,Definitely,Speed,Nothing,5.0,N/A
Male,Undergraduate,4,Research ,1.0,1,"Yes, completely",,,4.0,,4,Most of the time,Delight,4.0,Definitely,The responses are real life based,N/A,5.0,Make it more lively
Male,Undergraduate,1,Ghg,1.0,1,"Yes, partially",,,1.0,,2,Most of the time,Oko,1.0,Definitely,Ik,Yughh,1.0,Hjh
Male,Undergraduate,3,research,0.0,4,"Yes, completely",,,5.0,,4,A;ways,nil,4.0,Definitely,everything,nothing,5.0,nothing
Male,Undergraduate,5,"Assignment, Research, calculation and coding",1.0,4,"Yes, partially",,,3.0,,4,Rarely,Frustration ,3.0,Definitely,It gives a lot of information ,It did not give me what I wanted,4.0,It should try to understand prompts better
Male,Undergraduate,5,Research ,1.0,5,"Yes, completely",,,5.0,,5,A;ways,Delight ,5.0,Definitely,It's fast response ,It's complexity in explaining,5.0,Better explanation and less complexity 
Male,Secondary School,1,Hddh,1.0,4,"Yes, partially",,,4.0,,4,Neutral,Chop rice,4.0,Probably,Eeeee,Chop rice,3.0,No meat
